!   mu    Theta      P11          P12          P33          P34
 -0.3989 113.51      0.02846     -0.00576      0.00248      0.00302
 -0.4034 113.79      0.02891     -0.00611      0.00290      0.00312
 -0.4079 114.08      0.02936     -0.00653      0.00332      0.00325
 -0.4124 114.36      0.02988     -0.00705      0.00377      0.00344
 -0.4169 114.64      0.03048     -0.00766      0.00425      0.00370
 -0.4214 114.93      0.03113     -0.00832      0.00474      0.00402
 -0.4259 115.21      0.03176     -0.00896      0.00524      0.00434
 -0.4304 115.49      0.03234     -0.00956      0.00570      0.00464
 -0.4348 115.77      0.03292     -0.01011      0.00615      0.00492
 -0.4393 116.06      0.03355     -0.01063      0.00658      0.00525
 -0.4437 116.34      0.03426     -0.01116      0.00698      0.00565
 -0.4481 116.62      0.03502     -0.01171      0.00732      0.00615
 -0.4526 116.91      0.03579     -0.01231      0.00760      0.00673
 -0.4570 117.19      0.03656     -0.01295      0.00783      0.00734
 -0.4614 117.47      0.03731     -0.01360      0.00807      0.00793
 -0.4657 117.76      0.03806     -0.01428      0.00834      0.00847
 -0.4701 118.04      0.03877     -0.01495      0.00866      0.00895
 -0.4745 118.32      0.03941     -0.01561      0.00899      0.00941
 -0.4788 118.61      0.03998     -0.01623      0.00925      0.00988
 -0.4831 118.89      0.04053     -0.01681      0.00941      0.01038
 -0.4875 119.17      0.04111     -0.01736      0.00947      0.01093
 -0.4918 119.46      0.04176     -0.01793      0.00946      0.01153
 -0.4961 119.74      0.04244     -0.01851      0.00943      0.01219
 -0.5004 120.02      0.04313     -0.01911      0.00943      0.01289
 -0.5046 120.31      0.04378     -0.01969      0.00943      0.01360
 -0.5089 120.59      0.04436     -0.02027      0.00942      0.01430
 -0.5131 120.87      0.04486     -0.02083      0.00935      0.01496
 -0.5174 121.16      0.04530     -0.02134      0.00921      0.01560
 -0.5216 121.44      0.04571     -0.02174      0.00901      0.01625
 -0.5258 121.72      0.04615     -0.02203      0.00879      0.01692
 -0.5300 122.01      0.04661     -0.02225      0.00855      0.01760
 -0.5342 122.29      0.04706     -0.02248      0.00829      0.01829
 -0.5384 122.57      0.04742     -0.02274      0.00799      0.01896
 -0.5425 122.86      0.04767     -0.02299      0.00766      0.01958
 -0.5467 123.14      0.04784     -0.02319      0.00730      0.02014
 -0.5508 123.42      0.04798     -0.02332      0.00694      0.02066
 -0.5549 123.71      0.04814     -0.02339      0.00657      0.02115
 -0.5590 123.99      0.04833     -0.02341      0.00619      0.02161
 -0.5631 124.27      0.04851     -0.02340      0.00580      0.02205
 -0.5672 124.56      0.04866     -0.02339      0.00539      0.02245
 -0.5713 124.84      0.04880     -0.02338      0.00498      0.02284
 -0.5753 125.12      0.04896     -0.02340      0.00458      0.02325
 -0.5794 125.41      0.04917     -0.02343      0.00417      0.02374
 -0.5834 125.69      0.04940     -0.02343      0.00376      0.02428
 -0.5874 125.97      0.04960     -0.02339      0.00333      0.02485
 -0.5914 126.25      0.04975     -0.02332      0.00291      0.02539
 -0.5954 126.54      0.04988     -0.02328      0.00249      0.02590
 -0.5993 126.82      0.05007     -0.02328      0.00209      0.02641
